MARCA_STANDARD,MODELO|CLASE|NUEVA_CATEGORIA|LIVIANOS_PESADOS|MODELO_VEH_STD|COD_NUEVA_CATEGORIA|NUEVO
MITSUBISHI,KFE12B|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
DAEWOO,D7Q|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MAHINDRA,BOLERO|RURALES|CHINOS E INDIOS|LIVIANOS||L3|
MERCEDES BENZ,C 300|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MAZDA,PROTEGE|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
DAEWOO,WINSTORM|RURALES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,C 230|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
TOYOTA,ALTEZZA|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
FERRARI,F430|AUTOMOVILES|NO ASEGURABLE|LIVIANOS|F 430|LX|
MERCEDES BENZ,CLK 270|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
NISSAN,D 21|PICK UP|PICK UP|LIVIANOS||L6|
MERCEDES BENZ,C 181|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
SKODA,YETI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MAZDA,MILLENIA|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
CHEVROLET,SPORTNOVAN|RURALES|BAJO RIESGO 2|LIVIANOS||L1B|
CHEVROLET,CHEVROLET K|PICK UP|BAJO RIESGO 2|LIVIANOS||L1B|
JAC,A CLASS|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
SUZUKI,TS|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
SKODA,SUPERB|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
CHEVROLET,JEEP|RURALES|BAJO RIESGO 2|LIVIANOS||L1B|
MAZDA,B 1800|PICK UP|PICK UP|LIVIANOS||L6|
DAEWOO,SUPER SALON|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PONTIAC,SUNBIRD|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
MITSUBISHI,CEDIA|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
FERRARI,430|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
VOLKSWAGEN,111|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
HYUNDAI,TUSCANI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,E 300|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|E 300|L1A|
MERCEDES BENZ,CL 550|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
YAMAHA,BIG BEAR|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
HAIMA,HAIMA 1|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
VOLKSWAGEN,373|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
DODGE,ARIES|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
MERCEDES BENZ,C 36|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,ML 500|RURALES|BAJO RIESGO 1|LIVIANOS||L1A|
HONDA,CRZ|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLKSWAGEN,377|AUTOMOVILES|BAJO RIESGO 2|LIVIANOS||L1B|
MERCEDES BENZ,CL200|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,E 420|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
DODGE,W600|PICK UP|PICK UP|LIVIANOS||L6|
FORD,F 550|PICK UP|PICK UP|LIVIANOS||L6|
GMC,SONOMA|PICK UP|PICK UP|LIVIANOS||L6|
MITSUBISHI,L 100|PANEL|PANEL|LIVIANOS||L5|
LEXUS,ST 200|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
PEUGEOT,505|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
NISSAN,GRS|RURALES|BAJO RIESGO 1|LIVIANOS||L1A|
SUBARU,SAMBAR|RURALES|NO ASEGURABLE|LIVIANOS||LX|
MERCEDES BENZ,S 430|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
DODGE,LEBARON|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
MERCEDES BENZ,E 220|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
JAC,A 138|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
ALFA ROMEO,146|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,E 51|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
FERRARI,SCAGLIETI|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
BMW,630CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,CLS550|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
CHEVROLET,2103|AUTOMOVILES|BAJO RIESGO 2|LIVIANOS||L1B|
MERCEDES BENZ,GL 500|RURALES|BAJO RIESGO 1|LIVIANOS||L1A|
DAEWOO,REZZO|RURALES|BAJO RIESGO 1|LIVIANOS|REZZO|L1A|
MITSUBISHI,L 200|PICK UP|PICK UP|LIVIANOS|L|L6|
MERCEDES BENZ,C 220|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
FORD,F 350|PICK UP|PICK UP|LIVIANOS||L6|
NISSAN,FAIRLADY|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MAZDA,B 1600|PICK UP|PICK UP|LIVIANOS||L6|
FORD,ROUTE|PICK UP|PICK UP|LIVIANOS||L6|
SUBARU,LOYALE|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
MERCEDES BENZ,S 420|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
FORD,F 300|PICK UP|PICK UP|LIVIANOS||L6|
UM,MAGNETIC|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
MERCEDES BENZ,ML 63|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
TOYOTA,REGIUS|PANEL|PANEL|LIVIANOS||L5|
MAZDA,B 2600|PICK UP|PICK UP|LIVIANOS||L6|
BMW,645I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
CITROEN,PALLAS|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,B 180|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLKSWAGEN,SANTANA|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
VOLVO,780|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
YAMAHA,VIRAGO|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
CHRYSLER,TOWN&COUNTRY|RURALES|BAJO RIESGO 1|LIVIANOS||L1A|
AMC,CONCORD|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
LADA,2107|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
LEXUS,RX 350|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,R1200|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
JEEP,COMANCHE|RURALES|BAJO RIESGO 1|LIVIANOS||L1A|
CHANGAN,CV|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
KIA,CREDOS|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,E 240|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
FORD,F 100|PICK UP|PICK UP|LIVIANOS||L6|
MERCEDES BENZ,C -180|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
GREAT WALL,PERI|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
MAZDA,B 2500|PICK UP|PICK UP|LIVIANOS||L6|
YOUYI,OTROS|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
YINGANG,OTROS|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
YANG ZU,OTROS|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
MAVILA,OTROS|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
BAJAJ,OTROS|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
CHEVROLET,ESSENTIA|RURALES|BAJO RIESGO 2|LIVIANOS||L1B|
YAMAHA,YFZ|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
FORD,F 150|PICK UP|PICK UP|LIVIANOS||L6|
